,slab,eta,pH,dict_ads,R_CO(g),R_CH2O(g),R_CH3OH(l),R_CH4(g)
0,Al1Cu3,-1.5,0,"{'*CO': 0.49882306372623864, '*CHO': 0.0005089753356448501, '*COH': 6.473333062845618e-05, '*CH2O': 5.835075500179347e-05, '*CHOH': 2.6137434084919424e-08, '*C': 6.761589981251459e-05, '*CH3O': 0.00011066271531457459, '*CH2OH': 1.6133056922021204e-05, '*CH': 0.0001702804857912707, '*O': 7.956851992057165e-08, '*CH3OH': 6.917161933292211e-06, '*CH2': 0.0013433705912748249, '*OH': 1.2418158162139418e-06, '*CH3': 0.4986197517862233, '*H2O': 0.00010156917080461954, '*CH4': 5.355552940668746e-05}",-333439766.13107353,0.002077222583202087,1.2608426481248804,333439764.86799794
1,Al1Cu3,-1.5,1,"{'*CO': 0.5444174617143277, '*CHO': 0.00040996778639658144, '*COH': 3.955226891217219e-05, '*CH2O': 4.26269273718143e-05, '*CHOH': 1.0154251923811817e-08, '*C': 4.0353869328789434e-05, '*CH3O': 9.324856651412546e-05, '*CH2OH': 9.391280152337178e-06, '*CH': 0.00011375227064415256, '*O': 4.889747258819515e-08, '*CH3OH': 3.905962926751125e-06, '*CH2': 0.001016717795150568, '*OH': 7.701936732599116e-07, '*CH3': 0.45370157652501214, '*H2O': 5.379168130335792e-05, '*CH4': 2.838683562986826e-05}",-176664778.59683618,0.0015174716451659676,0.7119689675529318,176664777.88342828
2,Al1Cu3,-1.5,2,"{'*CO': 0.591508962527639, '*CHO': 0.00032885102836688107, '*COH': 2.3974079162588598e-05, '*CH2O': 3.1193990900652734e-05, '*CHOH': 3.849301950125671e-09, '*C': 2.370044685216488e-05, '*CH3O': 7.98092261636499e-05, '*CH2OH': 5.327618623269019e-06, '*CH': 7.517677972806782e-05, '*O': 3.083311186964155e-08, '*CH3OH': 2.2127782724993985e-06, '*CH2': 0.0007606009859766573, '*OH': 4.974837211232659e-07, '*CH3': 0.4071028506834572, '*H2O': 2.7619251026935246e-05, '*CH4': 1.458330291391598e-05}",-90733490.15010154,0.0011104717043857388,0.4033395840255342,90733489.74559031
3,Al1Cu3,-1.5,3,"{'*CO': 0.6389988918340792, '*CHO': 0.0002624314793189051, '*COH': 1.441949434885409e-05, '*CH2O': 2.2860846726011033e-05, '*CHOH': 1.4212384118342247e-09, '*C': 1.3693124576762725e-05, '*CH3O': 6.937427998946979e-05, '*CH2OH': 2.9495409762241506e-06, '*CH': 4.911599725614852e-05, '*O': 1.9973293811750925e-08, '*CH3OH': 1.2614473757439498e-06, '*CH2': 0.0005619839553080891, '*OH': 3.3641456791012486e-07, '*CH3': 0.35997440108579304, '*H2O': 1.3737370679998956e-05, '*CH4': 7.256083633494962e-06}",-45137400.934903406,0.0008138209537979765,0.22993341272642343,45137400.704063304
4,Al1Cu3,-1.5,4,"{'*CO': 0.685690891310333, '*CHO': 0.00020819557242904941, '*COH': 8.608784130564751e-06, '*CH2O': 1.6774260285890205e-05, '*CHOH': 5.103295261888827e-10, '*C': 7.781049649674275e-06, '*CH3O': 6.124034747599061e-05, '*CH2OH': 1.5964074052242458e-06, '*CH': 3.170686585144747e-05, '*O': 1.3305397363285617e-08, '*CH3OH': 7.252267032876702e-07, '*CH2': 0.0004098923532154348, '*OH': 2.3901062361931915e-07, '*CH3': 0.3135487245264785, '*H2O': 6.615836719941922e-06, '*CH4': 3.495187803834462e-06}",-21740081.426042352,0.0005971451831478456,0.13219247516284438,21740081.292626187
5,Al1Cu3,-1.5,5,"{'*CO': 0.7304105090788171, '*CHO': 0.00016412260438515263, '*COH': 5.104271601939414e-06, '*CH2O': 1.2321264812859108e-05, '*CHOH': 1.7806385558978268e-10, '*C': 4.348952203045613e-06, '*CH3O': 5.489753001068352e-05, '*CH2OH': 8.463618711150452e-07, '*CH': 2.0219465313323938e-05, '*O': 9.123443131097303e-09, '*CH3OH': 4.211246180301659e-07, '*CH2': 0.0002950411879846538, '*OH': 1.7873593750428694e-07, '*CH3': 0.2690256338774564, '*H2O': 3.084724228397488e-06, '*CH4': 1.6297962977933351e-06}",-10136972.688122233,0.0004386234509236002,0.07676152209653679,10136972.61096176
6,Al1Cu3,-1.5,6,"{'*CO': 0.7721303283195011, '*CHO': 0.00012854334520606288, '*COH': 3.0076529171466055e-06, '*CH2O': 9.059386351702908e-06, '*CHOH': 6.037788943888683e-11, '*C': 2.3915540506946382e-06, '*CH3O': 4.997519040881911e-05, '*CH2OH': 4.40448129682864e-07, '*CH': 1.2737866231986699e-05, '*O': 6.445006120393559e-09, '*CH3OH': 2.472470263261817e-07, '*CH2': 0.00020958373997373938, '*OH': 1.4074762439875312e-07, '*CH3': 0.2274506723647073, '*H2O': 1.392924680863204e-06, '*CH4': 7.359104659413501e-07}",-4577302.515247311,0.00032250417186772723,0.04506755782508233,4577302.4696838735
7,Al1Cu3,-1.4,0,"{'*CO': 0.5768303348099445, '*CHO': 0.0003522642525353519, '*COH': 2.8017780049240898e-05, '*CH2O': 3.435501849356574e-05, '*CHOH': 5.212122919254143e-09, '*C': 2.7995010145763446e-05, '*CH3O': 8.361036768218836e-05, '*CH2OH': 6.366922828250019e-06, '*CH': 8.55661276243041e-05, '*O': 3.546517957714461e-08, '*CH3OH': 2.6370553164747736e-06, '*CH2': 0.0008331981656752657, '*OH': 5.669176173577201e-07, '*CH3': 0.4216449839121209, '*H2O': 3.406577050188997e-05, '*CH4': 1.7984475058034783e-05}",-111903008.37922153,0.001223000803656554,0.48067572228909244,111903007.89652237
8,Al1Cu3,-1.4,1,"{'*CO': 0.6243224092890305, '*CHO': 0.00028158997049722534, '*COH': 1.689156203779602e-05, '*CH2O': 2.5166765407687998e-05, '*CHOH': 1.940548289987047e-09, '*C': 1.6257221401106426e-05, '*CH3O': 7.233108772040879e-05, '*CH2OH': 3.551029625792351e-06, '*CH': 5.610652531634007e-05, '*O': 2.2780388710567116e-08, '*CH3OH': 1.4999960560404428e-06, '*CH2': 0.000618036863583155, '*OH': 3.7778931470874174e-07, '*CH3': 0.3745505563171817, '*H2O': 1.711251662914862e-05, '*CH4': 9.038006113824532e-06}",-56224666.49348207,0.0008959091180464041,0.27341545820581464,56224666.219381124
9,Al1Cu3,-1.4,2,"{'*CO': 0.6713905058396556, '*CHO': 0.000223817209404063, '*COH': 1.010737279042918e-05, '*CH2O': 1.8459665925037824e-05, '*CHOH': 7.029265897639052e-10, '*C': 9.285768803384561e-06, '*CH3O': 6.354696208430868e-05, '*CH2OH': 1.935086929218699e-06, '*CH': 3.635582351119059e-05, '*O': 1.504297065209264e-08, '*CH3OH': 8.599534823133793e-07, '*CH2': 0.00045260409708772046, '*OH': 2.6426086478529353e-07, '*CH3': 0.3277751173907727, '*H2O': 8.324260940423978e-06, '*CH4': 4.397550477509786e-06}",-27353430.55168902,0.0006571437668060344,0.15675012907904548,27353430.394550286
